Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,-0.3053,13.4069,0.0956,10.2,11.1,12.2,13.4,14.8,16.3,18.1
1,0.2708,14.9441,0.09027,11.3,12.4,13.6,14.9,16.3,17.8,19.4
2,0.1118,16.3195,0.08677,12.5,13.7,15.0,16.3,17.8,19.4,21.1
3,0.0068,16.8987,0.08495,13.1,14.3,15.5,16.9,18.4,20.0,21.8
4,-0.0727,17.1579,0.08378,13.4,14.5,15.8,17.2,18.7,20.3,22.1
5,-0.137,17.2919,0.08296,13.5,14.7,15.9,17.3,18.8,20.5,22.3
6,-0.1913,17.3422,0.08234,13.6,14.7,16.0,17.3,18.8,20.5,22.3
7,-0.2385,17.3288,0.08183,13.7,14.8,16.0,17.3,18.8,20.5,22.3
8,-0.2802,17.2647,0.0814,13.6,14.7,15.9,17.3,18.7,20.4,22.2
9,-0.3176,17.1662,0.08102,13.6,14.7,15.8,17.2,18.6,20.3,22.1
10,-0.3516,17.0488,0.08068,13.5,14.6,15.7,17.0,18.5,20.1,22.0
11,-0.3828,16.9239,0.08037,13.4,14.5,15.6,16.9,18.4,20.0,21.8
12,-0.4115,16.7981,0.08009,13.4,14.4,15.5,16.8,18.2,19.8,21.6
13,-0.4382,16.6743,0.07982,13.3,14.3,15.4,16.7,18.1,19.7,21.5
14,-0.463,16.5548,0.07958,13.2,14.2,15.3,16.6,18.0,19.5,21.3
15,-0.4863,16.4409,0.07935,13.1,14.1,15.2,16.4,17.8,19.4,21.2
16,-0.5082,16.3335,0.07913,13.1,14.0,15.1,16.3,17.7,19.3,21.0
17,-0.5289,16.2329,0.07892,13.0,13.9,15.0,16.2,17.6,19.1,20.9
18,-0.5484,16.1392,0.07873,12.9,13.9,14.9,16.1,17.5,19.0,20.8
19,-0.5669,16.0528,0.07854,12.9,13.8,14.9,16.1,17.4,18.9,20.7
20,-0.5846,15.9743,0.07836,12.8,13.7,14.8,16.0,17.3,18.8,20.6
21,-0.6014,15.9039,0.07818,12.8,13.7,14.7,15.9,17.2,18.7,20.5
22,-0.6174,15.8412,0.07802,12.7,13.6,14.7,15.8,17.2,18.7,20.4
23,-0.6328,15.7852,0.07786,12.7,13.6,14.6,15.8,17.1,18.6,20.3
24,-0.6473,15.7356,0.07771,12.7,13.6,14.6,15.7,17.0,18.5,20.3
25,-0.584,15.98,0.07792,12.8,13.8,14.8,16.0,17.3,18.8,20.5
26,-0.5497,15.9414,0.078,12.8,13.7,14.8,15.9,17.3,18.8,20.5
27,-0.5166,15.9036,0.07808,12.7,13.7,14.7,15.9,17.2,18.7,20.4
28,-0.485,15.8667,0.07818,12.7,13.6,14.7,15.9,17.2,18.7,20.4
29,-0.4552,15.8306,0.07829,12.7,13.6,14.7,15.8,17.1,18.6,20.3
30,-0.4274,15.7953,0.07841,12.6,13.6,14.6,15.8,17.1,18.6,20.2
31,-0.4016,15.7606,0.07854,12.6,13.5,14.6,15.8,17.1,18.5,20.2
32,-0.3782,15.7267,0.07867,12.5,13.5,14.6,15.7,17.0,18.5,20.1
33,-0.3572,15.6934,0.07882,12.5,13.5,14.5,15.7,17.0,18.5,20.1
34,-0.3388,15.661,0.07897,12.5,13.4,14.5,15.7,17.0,18.4,20.0
35,-0.3231,15.6294,0.07914,12.4,13.4,14.5,15.6,16.9,18.4,20.0
36,-0.3101,15.5988,0.07931,12.4,13.4,14.4,15.6,16.9,18.4,20.0
37,-0.3,15.5693,0.0795,12.4,13.3,14.4,15.6,16.9,18.3,19.9
38,-0.2927,15.541,0.07969,12.3,13.3,14.4,15.5,16.8,18.3,19.9
39,-0.2884,15.514,0.0799,12.3,13.3,14.3,15.5,16.8,18.3,19.9
40,-0.2869,15.4885,0.08012,12.3,13.2,14.3,15.5,16.8,18.2,19.9
41,-0.2881,15.4645,0.08036,12.2,13.2,14.3,15.5,16.8,18.2,19.9
42,-0.2919,15.442,0.08061,12.2,13.2,14.3,15.4,16.8,18.2,19.8
43,-0.2981,15.421,0.08087,12.2,13.2,14.2,15.4,16.7,18.2,19.8
44,-0.3067,15.4013,0.08115,12.2,13.1,14.2,15.4,16.7,18.2,19.8
45,-0.3174,15.3827,0.08144,12.2,13.1,14.2,15.4,16.7,18.2,19.8
46,-0.3303,15.3652,0.08174,12.1,13.1,14.2,15.4,16.7,18.2,19.8
47,-0.3452,15.3485,0.08205,12.1,13.1,14.2,15.3,16.7,18.2,19.9
48,-0.3622,15.3326,0.08238,12.1,13.1,14.1,15.3,16.7,18.2,19.9
49,-0.3811,15.3174,0.08272,12.1,13.0,14.1,15.3,16.7,18.2,19.9
50,-0.4019,15.3029,0.08307,12.1,13.0,14.1,15.3,16.7,18.2,19.9
51,-0.4245,15.2891,0.08343,12.1,13.0,14.1,15.3,16.6,18.2,19.9
52,-0.4488,15.2759,0.0838,12.0,13.0,14.1,15.3,16.6,18.2,19.9
53,-0.4747,15.2633,0.08418,12.0,13.0,14.1,15.3,16.6,18.2,20.0
54,-0.5019,15.2514,0.08457,12.0,13.0,14.0,15.3,16.6,18.2,20.0
55,-0.5303,15.24,0.08496,12.0,13.0,14.0,15.2,16.6,18.2,20.0
56,-0.5599,15.2291,0.08536,12.0,12.9,14.0,15.2,16.6,18.2,20.1
57,-0.5905,15.2188,0.08577,12.0,12.9,14.0,15.2,16.6,18.2,20.1
58,-0.6223,15.2091,0.08617,12.0,12.9,14.0,15.2,16.6,18.3,20.2
59,-0.6552,15.2,0.08659,12.0,12.9,14.0,15.2,16.6,18.3,20.2
60,-0.6892,15.1916,0.087,12.0,12.9,14.0,15.2,16.6,18.3,20.3
