Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1,34.4618,0.03686,30.7,31.9,33.2,34.5,35.7,37.0,38.3
1,1,37.2759,0.03133,33.8,34.9,36.1,37.3,38.4,39.6,40.8
2,1,39.1285,0.02997,35.6,36.8,38.0,39.1,40.3,41.5,42.6
3,1,40.5135,0.02918,37.0,38.1,39.3,40.5,41.7,42.9,44.1
4,1,41.6317,0.02868,38.0,39.2,40.4,41.6,42.8,44.0,45.2
5,1,42.5576,0.02837,38.9,40.1,41.4,42.6,43.8,45.0,46.2
6,1,43.3306,0.02817,39.7,40.9,42.1,43.3,44.6,45.8,47.0
7,1,43.9803,0.02804,40.3,41.5,42.7,44.0,45.2,46.4,47.7
8,1,44.53,0.02796,40.8,42.0,43.3,44.5,45.8,47.0,48.3
9,1,44.9998,0.02792,41.2,42.5,43.7,45.0,46.3,47.5,48.8
10,1,45.4051,0.0279,41.6,42.9,44.1,45.4,46.7,47.9,49.2
11,1,45.7573,0.02789,41.9,43.2,44.5,45.8,47.0,48.3,49.6
12,1,46.0661,0.02789,42.2,43.5,44.8,46.1,47.4,48.6,49.9
13,1,46.3395,0.02789,42.5,43.8,45.0,46.3,47.6,48.9,50.2
14,1,46.5844,0.02791,42.7,44.0,45.3,46.6,47.9,49.2,50.5
15,1,46.806,0.02792,42.9,44.2,45.5,46.8,48.1,49.4,50.7
16,1,47.0088,0.02795,43.1,44.4,45.7,47.0,48.3,49.6,51.0
17,1,47.1962,0.02797,43.2,44.6,45.9,47.2,48.5,49.8,51.2
18,1,47.3711,0.028,43.4,44.7,46.0,47.4,48.7,50.0,51.4
19,1,47.5357,0.02803,43.5,44.9,46.2,47.5,48.9,50.2,51.5
20,1,47.6919,0.02806,43.7,45.0,46.4,47.7,49.0,50.4,51.7
21,1,47.8408,0.0281,43.8,45.2,46.5,47.8,49.2,50.5,51.9
22,1,47.9833,0.02813,43.9,45.3,46.6,48.0,49.3,50.7,52.0
23,1,48.1201,0.02817,44.1,45.4,46.8,48.1,49.5,50.8,52.2
24,1,48.2515,0.02821,44.2,45.5,46.9,48.3,49.6,51.0,52.3
25,1,48.3777,0.02825,44.3,45.6,47.0,48.4,49.7,51.1,52.5
26,1,48.4989,0.0283,44.4,45.8,47.1,48.5,49.9,51.2,52.6
27,1,48.6151,0.02834,44.5,45.9,47.2,48.6,50.0,51.4,52.7
28,1,48.7264,0.02838,44.6,46.0,47.3,48.7,50.1,51.5,52.9
29,1,48.8331,0.02842,44.7,46.1,47.4,48.8,50.2,51.6,53.0
30,1,48.9351,0.02847,44.8,46.1,47.5,48.9,50.3,51.7,53.1
31,1,49.0327,0.02851,44.8,46.2,47.6,49.0,50.4,51.8,53.2
32,1,49.126,0.02855,44.9,46.3,47.7,49.1,50.5,51.9,53.3
33,1,49.2153,0.02859,45.0,46.4,47.8,49.2,50.6,52.0,53.4
34,1,49.3007,0.02863,45.1,46.5,47.9,49.3,50.7,52.1,53.5
35,1,49.3826,0.02867,45.1,46.6,48.0,49.4,50.8,52.2,53.6
36,1,49.4612,0.02871,45.2,46.6,48.0,49.5,50.9,52.3,53.7
37,1,49.5367,0.02875,45.3,46.7,48.1,49.5,51.0,52.4,53.8
38,1,49.6093,0.02878,45.3,46.8,48.2,49.6,51.0,52.5,53.9
39,1,49.6791,0.02882,45.4,46.8,48.2,49.7,51.1,52.5,54.0
40,1,49.7465,0.02886,45.4,46.9,48.3,49.7,51.2,52.6,54.1
41,1,49.8116,0.02889,45.5,46.9,48.4,49.8,51.3,52.7,54.1
42,1,49.8745,0.02893,45.5,47.0,48.4,49.9,51.3,52.8,54.2
43,1,49.9354,0.02896,45.6,47.0,48.5,49.9,51.4,52.8,54.3
44,1,49.9942,0.02899,45.6,47.1,48.5,50.0,51.4,52.9,54.3
45,1,50.0512,0.02903,45.7,47.1,48.6,50.1,51.5,53.0,54.4
46,1,50.1064,0.02906,45.7,47.2,48.7,50.1,51.6,53.0,54.5
47,1,50.1598,0.02909,45.8,47.2,48.7,50.2,51.6,53.1,54.5
48,1,50.2115,0.02912,45.8,47.3,48.7,50.2,51.7,53.1,54.6
49,1,50.2617,0.02915,45.9,47.3,48.8,50.3,51.7,53.2,54.7
50,1,50.3105,0.02918,45.9,47.4,48.8,50.3,51.8,53.2,54.7
51,1,50.3578,0.02921,45.9,47.4,48.9,50.4,51.8,53.3,54.8
52,1,50.4039,0.02924,46.0,47.5,48.9,50.4,51.9,53.4,54.8
53,1,50.4488,0.02927,46.0,47.5,49.0,50.4,51.9,53.4,54.9
54,1,50.4926,0.02929,46.1,47.5,49.0,50.5,52.0,53.5,54.9
55,1,50.5354,0.02932,46.1,47.6,49.1,50.5,52.0,53.5,55.0
56,1,50.5772,0.02935,46.1,47.6,49.1,50.6,52.1,53.5,55.0
57,1,50.6183,0.02938,46.2,47.6,49.1,50.6,52.1,53.6,55.1
58,1,50.6587,0.0294,46.2,47.7,49.2,50.7,52.1,53.6,55.1
59,1,50.6984,0.02943,46.2,47.7,49.2,50.7,52.2,53.7,55.2
60,1,50.7375,0.02946,46.3,47.7,49.2,50.7,52.2,53.7,55.2
